Sentence,Period,Year,Structure,ClauseType,Construction,Mverbf,Mfiniteness,MatrixMood,Mmoodrase,Everbf,Everbfiniteness,Everbmood,Everbmoodrase,Complementizer
no creo que avrá poco que hazer en averiguar si son más los errores domésticos (836) que en la guerra,1500,1535-c1552 ,no creer que V,non-interrogative,"1st present (creo, creemos)",creo,finite,ind,ind,avra,finite,ind,ind,That
"assí no creo que avrá linaje de tormento que no concurra y venga a dar pena a los malos en el infierno, pues ",1500,1530,no creer que V,non-interrogative,"1st present (creo, creemos)",creo,finite,ind,ind,avra,finite,ind,ind,That
no creo que avrá alguno tan injusto estimador de las cosas que no tenga en más esta empresa de Tu Magestad  ,1500,1524,no creer que V,non-interrogative,"1st present (creo, creemos)",creo,finite,ind,ind,avra,finite,ind,ind,That
Non creo que ay coraçon nin boca de hombre quelo pudiese dezir. O señora madre de cristo da me graci,1400,a1493,no creer que V,non-interrogative,"1st present (creo, creemos)",creo,finite,ind,ind,ay,finite,ind,ind,That
no creo que ay bondad donde no hay loçanía. —Saturna ensañada desto dixo: — ¡Ay que mal pensamiento ,1500,a1574,no creer que V,non-interrogative,"1st present (creo, creemos)",creo,finite,ind,ind,ay,finite,ind,ind,That
no creo que ay menos escuridad en ellos que en los passados.,1500,1569,no creer que V,non-interrogative,"1st present (creo, creemos)",creo,finite,ind,ind,ay,finite,ind,ind,That
no creo que ay cuydado d'estas delicias.,1500,1569,no creer que V,non-interrogative,"1st present (creo, creemos)",creo,finite,ind,ind,ay,finite,ind,ind,That
"no creo que ay ninguno en la tierra, quando yo estuue alli hauia como .15. o .20. Los que no tienen ",1500,1566,no creer que V,non-interrogative,"1st present (creo, creemos)",creo,finite,ind,ind,ay,finite,ind,ind,That
"Belisea No creo que ay por qué enojarme, que él me ha parescido hasta agora bien. ¿Dime quién es?",1500,1554,no creer que V,non-interrogative,"1st present (creo, creemos)",creo,finite,ind,ind,ay,finite,ind,ind,That
"no creo que ay muger de su suerte, porque con ser yo cierta que le ama y le quiere, no querría quererle fuera ",1500,1554,no creer que V,non-interrogative,"1st present (creo, creemos)",creo,finite,ind,ind,ay,finite,ind,ind,That
"porque no creo que ay agora más perfectos predicadores en vida que lo fue Sant Bernardo, el qual, estando un día ",1500,1553,no creer que V,non-interrogative,"1st present (creo, creemos)",creo,finite,ind,ind,ay,finite,ind,ind,That
No creo que ay cosa en esta vida que más noticia nos dé y nos muestre quán vanas y transitorias son las ,1500,1540-c1550 ,no creer que V,non-interrogative,"1st present (creo, creemos)",creo,finite,ind,ind,ay,finite,ind,ind,That
"no creo que ay quien no lo sepa; pues a ambos les acaesció morir el día que nascieron: Céssar, en los ",1500,1540-c1550 ,no creer que V,non-interrogative,"1st present (creo, creemos)",creo,finite,ind,ind,ay,finite,ind,ind,That
"No creo que ay quien esto no aya visto. Y, por no importunar con un propósito, no digo más agora del ",1500,1540-c1550 ,no creer que V,non-interrogative,"1st present (creo, creemos)",creo,finite,ind,ind,ay,finite,ind,ind,That
"No creo que ay persona de alguna sabiduría o discreción natural, si tiene algún desseo de virtud, a la qual no vengan ",1500,1530,no creer que V,non-interrogative,"1st present (creo, creemos)",creo,finite,ind,ind,ay,finite,ind,ind,That
no creo que ay ninguno que más ny aun tanto como yo esta concordia dessee,1500,1530,no creer que V,non-interrogative,"1st present (creo, creemos)",creo,finite,ind,ind,ay,finite,ind,ind,That
"No creo que ay hombre cuerdo que dessee la consolación espiritual por sólo ver a qué sabe, sin la ordenar a ",1500,1527,no creer que V,non-interrogative,"1st present (creo, creemos)",creo,finite,ind,ind,ay,finite,ind,ind,That
"No creo que ay en el mundo quien no tenga necessidad de la tristeza sobredicha; empero, si ha dicha oviesse ",1500,1527,no creer que V,non-interrogative,"1st present (creo, creemos)",creo,finite,ind,ind,ay,finite,ind,ind,That
"no creo que ay necessidad de particularmente contar las miserias y trabajos en que nos vimos, pues ",1500,c1527-1561 ,no creer que V,non-interrogative,"1st present (creo, creemos)",creo,finite,ind,ind,ay,finite,ind,ind,That
"no creo que ay par en el mundo. Por tanto, vámonos a nuestra tierra, pues es escusado querer dañar a esta ",1500,1516,no creer que V,non-interrogative,"1st present (creo, creemos)",creo,finite,ind,ind,ay,finite,ind,ind,That
"no creo que ay quien no la sepa, que es poner cada planta por si en vn hoyo, si fuere rosal blanco, hondo ",1500,1513,no creer que V,non-interrogative,"1st present (creo, creemos)",creo,finite,ind,ind,ay,finite,ind,ind,That
". No creo que ay impossible al desseo, ",1600,c1610-1612 ,no creer que V,non-interrogative,"1st present (creo, creemos)",creo,finite,ind,ind,ay,finite,ind,ind,That
No creo que ay religioso de tan estragado ,1600,1605,no creer que V,non-interrogative,"1st present (creo, creemos)",creo,finite,ind,ind,ay,finite,ind,ind,That
"no creo que ay otro lugar alguno, ni necessidad de ponerle para estas tales almas, sino el del purgatorio",1600,1600,no creer que V,non-interrogative,"1st present (creo, creemos)",creo,finite,ind,ind,ay,finite,ind,ind,That
no creo que basta en vos la ausencia para causar desconocimiento; pues ya sabemos que le conocistes ,1500,a1598,no creer que V,non-interrogative,"1st present (creo, creemos)",creo,finite,ind,ind,basta,finite,ind,ind,That
no creo que basta para el todo; especialmente que la república y escuela de Salamanca no es de person,1500,c1550,no creer que V,non-interrogative,"1st present (creo, creemos)",creo,finite,ind,ind,basta,finite,ind,ind,That
"No creo que basta industria umana para llegar a esto, sino mucha meditación de la mesma Passión y ",1500,1528,no creer que V,non-interrogative,"1st present (creo, creemos)",creo,finite,ind,ind,basta,finite,ind,ind,That
no creo que basta,1600,1600,no creer que V,non-interrogative,"1st present (creo, creemos)",creo,finite,ind,ind,basta,finite,ind,ind,That
"No creo que bastará lengua humana para dezir las utilidades que d'este santo gusto se nos pueden seguir, ",1500,1527,no creer que V,non-interrogative,"1st present (creo, creemos)",creo,finite,ind,ind,bastará,finite,ind,ind,That
no creo que bive en la tierra hombre semejante al que dixo: «Nunca en toda mi vida me reprehendió mi ,1500,1527,no creer que V,non-interrogative,"1st present (creo, creemos)",creo,finite,ind,ind,bive,finite,ind,ind,That
"no creo que bive otro cavallero en armas más valeroso que vos, pues ninguno de  cuantos yo he topado por ",1500,1519,no creer que V,non-interrogative,"1st present (creo, creemos)",creo,finite,ind,ind,bive,finite,ind,ind,That
no creo que bolueré para que pueda  andar contigo vsando el exercicio de caçar en el monte y espessura,1500,1554,no creer que V,non-interrogative,"1st present (creo, creemos)",creo,finite,ind,ind,boluere,finite,ind,ind,That
"Y no creo que caen debajo de regla, sino que son anómalos e, si caen debajo de alguna, deben corresponder ",1500,c1550,no creer que V,non-interrogative,"1st present (creo, creemos)",creo,finite,ind,ind,caen,finite,ind,ind,That
no creo que se casaría con hombre mortal.,1500,1589,no creer que V,non-interrogative,"1st present (creo, creemos)",creo,finite,ind,ind,casaria,finite,ind,ind,That
"no creo que causará mucho menor lástima y horror a Vuestra Alteza, juntamente con deseo de poner el remedio",1500,1552,no creer que V,non-interrogative,"1st present (creo, creemos)",creo,finite,ind,ind,causará,finite,ind,ind,That
"no creo que cessará la tempestad hasta que Él lo mande, porque propio es del mar embravecerse, por ",1500,1527,no creer que V,non-interrogative,"1st present (creo, creemos)",creo,finite,ind,ind,cessará,finite,ind,ind,That
"No creo que codicias la vida, conociendo lo que has fecho, sino en  que sabes que pocos lo sabían. ",1400,1496,no creer que V,non-interrogative,"1st present (creo, creemos)",creo,finite,ind,ind,codicias,finite,ind,ind,That
No creo que se conoció el que el retrincheramiento estaba enfilado del cañón hasta que ya estaba hecho,1700,1775,no creer que V,non-interrogative,"1st present (creo, creemos)",creo,finite,ind,ind,conocio,finite,ind,ind,That
"no creo que conseguirá, porque necesitan dinero, y el tesorero es  durae cervicis ignorante y consentido",1700,1769,no creer que V,non-interrogative,"1st present (creo, creemos)",creo,finite,ind,ind,conseguirá,finite,ind,ind,That
"no creo que se consultó con Sancta Catalina, sino por paresçer bien, pues que las nauajas de la rrueda ",1500,1535-c1552 ,no creer que V,non-interrogative,"1st present (creo, creemos)",creo,finite,ind,ind,consulto,finite,ind,ind,That
"no creo que convencerá a su hija, que es una chica inteligente y que se da cuenta de las cosas.",1900,1938,no creer que V,non-interrogative,"1st present (creo, creemos)",creo,finite,ind,ind,convencerá,finite,ind,ind,That
"no creo que convendría empezar con ese drama, expuesto a no ser entendido por el público inteligente",1900,1946,no creer que V,non-interrogative,"1st present (creo, creemos)",creo,finite,ind,ind,convendria,finite,ind,ind,That
"no creo que cumple con el oficio que tiene, ni se apareja, según deve, para el sancto combite del Cordero ",1500,1530,no creer que V,non-interrogative,"1st present (creo, creemos)",creo,finite,ind,ind,cumple,finite,ind,ind,That
"no creo que dará lugar a eso, de suerte que sea necesario dar doctrina para estos tales religiosos en cuanto ",1600,c1607,no creer que V,non-interrogative,"1st present (creo, creemos)",creo,finite,ind,ind,dará,finite,ind,ind,That
"No creo que se darán casos de mozos de tahona que se hagan doctores, no por falta de inteligencia, sino por falta ",1900,1944-1949 ,no creer que V,non-interrogative,"1st present (creo, creemos)",creo,finite,ind,ind,darán,finite,ind,ind,That
"no creo que dexarás fasta que los trabajos del oficio que desseas te tengan apassionado, y entonces b",1500,1530,no creer que V,non-interrogative,"1st present (creo, creemos)",creo,finite,ind,ind,deaxarás,finite,ind,ind,That
"no creo que debe recelarse, atendidas las circunstancias de los secretarios del despacho, porque ",1800,1820-1821 ,no creer que V,non-interrogative,"1st present (creo, creemos)",creo,finite,ind,ind,debe,finite,ind,ind,That
no creo que debe usted romper con Catalina después de la publicación del tomo III de sus novelas. Debe usted ,1800,1888,no creer que V,non-interrogative,"1st present (creo, creemos)",creo,finite,ind,ind,debe,finite,ind,ind,That
no creo que debemos molestarle...,1900,1914,no creer que V,non-interrogative,"1st present (creo, creemos)",creo,finite,ind,ind,debemos,finite,ind,ind,That
"no creo que debería ser a París, aunque, como le digo, es preferible Bélgica o Suiza francesas. //",1800,1899,no creer que V,non-interrogative,"1st present (creo, creemos)",creo,finite,ind,ind,deberia,finite,ind,ind,That
no creo que deberíamos usar la expresión de «necesitados de estimación o valor» para designar las personalidades ,1900,1966,no creer que V,non-interrogative,"1st present (creo, creemos)",creo,finite,ind,ind,deberiamos,finite,ind,ind,That
"Y no creo que debía de ser la media noche, cuando los marineros y los que a cargo las galeras llevaban, viendo ",1500,1585,no creer que V,non-interrogative,"1st present (creo, creemos)",creo,finite,ind,ind,debia,finite,ind,ind,That
"No creo que debo añadir nada sobre el sistema particular de composición que he seguido, formas de narración",1800,1807,no creer que V,non-interrogative,"1st present (creo, creemos)",creo,finite,ind,ind,debo,finite,ind,ind,That
"no creo que decienden del cielo, de do viene todo don perfeto, mas acá se cogen en la tierra para pagar a los terrenales",1500,1527,no creer que V,non-interrogative,"1st present (creo, creemos)",creo,finite,ind,ind,deciden,finite,ind,ind,That
no creo que deja de tener significación. Belardo guarda el balcón de una dama por el que ha entrado ,1900,1948,no creer que V,non-interrogative,"1st present (creo, creemos)",creo,finite,ind,ind,deja,finite,ind,ind,That
"no creo que dejamos de cometer una injusticia digna del enojo del Cielo"".",1700,1787-1803 ,no creer que V,non-interrogative,"1st present (creo, creemos)",creo,finite,ind,ind,dejamos,finite,ind,ind,That
no creo que dejará de nacer hija al cabo.,1500,1560,no creer que V,non-interrogative,"1st present (creo, creemos)",creo,finite,ind,ind,dejará,finite,ind,ind,That
no creo que dejará de nascer hija al cabo. Dias ha que viendo que no nos puede venir socorro de parte ,1800,c1835,no creer que V,non-interrogative,"1st present (creo, creemos)",creo,finite,ind,ind,dejará,finite,ind,ind,That
no creo que desmentirán los economistas más adictos a considerarlo todo desde el punto de vista de la ,1800,1848,no creer que V,non-interrogative,"1st present (creo, creemos)",creo,finite,ind,ind,desmentirán,finite,ind,ind,That
"No creo que deuaneo sosteniendo esta quistion, porque yo mi coraçon con solo este mal le veo; que aqui ",1400,a1424-1520 ,no creer que V,non-interrogative,"1st present (creo, creemos)",creo,finite,ind,ind,deuaneo,finite,ind,ind,That
"No creo que deuaneo sosteniendo esta questión, porque yo mi coraçón con solo este mal le veo. Que aquí",1500,1554,no creer que V,non-interrogative,"1st present (creo, creemos)",creo,finite,ind,ind,deuaneo,finite,ind,ind,That
"No creo que devaneo sosteniendo esta quistión, porque yo mi coraçón con solo este mal le veo. Que aquí",1500,c1514-1542 ,no creer que V,non-interrogative,"1st present (creo, creemos)",creo,finite,ind,ind,devaneo,finite,ind,ind,That
no creo que deven ser otros sino los çarcillos que se suelen echar a las orejas corporales para las ,1500,1530,no creer que V,non-interrogative,"1st present (creo, creemos)",creo,finite,ind,ind,deven,finite,ind,ind,That
"pues ya no creo que dexarás de haverme entendido, si quieres entenderme y tú sanar, digo concluyendo ",1500,1554,no creer que V,non-interrogative,"1st present (creo, creemos)",creo,finite,ind,ind,dexarás,finite,ind,ind,That
"no creo que se dexaría otra vez ser engañada, por el desengaño que recibió de tal engaño.",1500,1555,no creer que V,non-interrogative,"1st present (creo, creemos)",creo,finite,ind,ind,dexaria,finite,ind,ind,That
"no creo que digo mal que, para que Dios haga esa merced a un alma, es menester añuble, porque, así ",1600,c1607,no creer que V,non-interrogative,"1st present (creo, creemos)",creo,finite,ind,ind,digo,finite,ind,ind,That
"no creo que dormí en Palacio diez noches; y esto es, sin duda, porque en la recámara que me tocaba dormir ",1600,c1612,no creer que V,non-interrogative,"1st present (creo, creemos)",creo,finite,ind,ind,dormi,finite,ind,ind,That
"non creo que duraría mucho la criatura en el mundo. Por tanto, El mesmo dixo en su Evangelio: «Non quiero yo la muerte ",1400,1438,no creer que V,non-interrogative,"1st present (creo, creemos)",creo,finite,ind,ind,duraria,finite,ind,ind,That
no creo que echó algunos a las minas sino para que le hiciesen labranzas de cazabí e * de los fructos ,1500,c1527-1561 ,no creer que V,non-interrogative,"1st present (creo, creemos)",creo,finite,ind,ind,echo,finite,ind,ind,That
", no creo que elevará su espíritu en el porvenir.",1900,1944-1949 ,no creer que V,non-interrogative,"1st present (creo, creemos)",creo,finite,ind,ind,elevará,finite,ind,ind,That
"No creo que emplea más que el  tawil, ",1900,1933-1944 ,no creer que V,non-interrogative,"1st present (creo, creemos)",creo,finite,ind,ind,emplea,finite,ind,ind,That
Antes no creo que entendistes lo que dixo,1500,1557-1558 ,no creer que V,non-interrogative,"1st present (creo, creemos)",creo,finite,ind,ind,entediste,finite,ind,ind,That
no creo que entiendo las cosas ,1900,1944-1949 ,no creer que V,non-interrogative,"1st present (creo, creemos)",creo,finite,ind,ind,entiendo,finite,ind,ind,That
"no creo que era el ánima de mi buen escudero Briones, porque su vida era tal, que no tendrá cargo ",1600,1632,no creer que V,non-interrogative,"1st present (creo, creemos)",creo,finite,ind,ind,era,finite,ind,ind,That
no creo que era mal auiso,1600,1605,no creer que V,non-interrogative,"1st present (creo, creemos)",creo,finite,ind,ind,era,finite,ind,ind,That
"no creo que erraban, y fuera bien si se hiciera.",1600,1604,no creer que V,non-interrogative,"1st present (creo, creemos)",creo,finite,ind,ind,erraban,finite,ind,ind,That
". No creo que erraría yo en pedir qualquier género de encantamento o fuerza de harmonía, con la qual ",1500,c1540,no creer que V,non-interrogative,"1st present (creo, creemos)",creo,finite,ind,ind,erraria,finite,ind,ind,That
no creo que errarías mucho en decir que Cristo fué muy requebrado y aun el mayor enamorado del mundo,1500,1521-1543 ,no creer que V,non-interrogative,"1st present (creo, creemos)",creo,finite,ind,ind,errarias,finite,ind,ind,That
"non creo que es chica, ante es bien grand prosa, que sobre cada fabla se entiende otra cosa sin la que se ",1300,1330-1343 ,no creer que V,non-interrogative,"1st present (creo, creemos)",creo,finite,ind,ind,es,finite,ind,ind,That
"No creo que es de los mas couardes del mundo, e yo creo que si el no fuesse mejor que otro, no acometeria ",1400,c1470,no creer que V,non-interrogative,"1st present (creo, creemos)",creo,finite,ind,ind,es,finite,ind,ind,That
Mas no creo que es sino de atún de ijada.,1500,1599,no creer que V,non-interrogative,"1st present (creo, creemos)",creo,finite,ind,ind,es,finite,ind,ind,That
"No creo que es mi delito tan feo. Oíd, por me hacer merced. Confieso que la miré, y de su rostro pagado",1500,c1598,no creer que V,non-interrogative,"1st present (creo, creemos)",creo,finite,ind,ind,es,finite,ind,ind,That
no creo que es ella de tanto efeto para causar estos alborotos y enemistades como el estar juntas diversidad ,1500,1590,no creer que V,non-interrogative,"1st present (creo, creemos)",creo,finite,ind,ind,es,finite,ind,ind,That
"no creo Que es mala nuestra venida. Arremete presto a asillas, No vengan otros soldados Y a la parte acodiciados Ayamos ",1500,1579,no creer que V,non-interrogative,"1st present (creo, creemos)",creo,finite,ind,ind,es,finite,ind,ind,That
No creo que es Embajador el de Portugal,1500,1578,no creer que V,non-interrogative,"1st present (creo, creemos)",creo,finite,ind,ind,es,finite,ind,ind,That
"no creo que es la que yo sospechava! Pero quiero dar razón de mí, sea quien fuere. [Ap.]",1500,1554,no creer que V,non-interrogative,"1st present (creo, creemos)",creo,finite,ind,ind,es,finite,ind,ind,That
"no creo que es Ricardeto este preciado; pienso que sea su hermana, que florece hoy en la guerra, ",1500,1549,no creer que V,non-interrogative,"1st present (creo, creemos)",creo,finite,ind,ind,es,finite,ind,ind,That
", no creo que es él, ",1500,c1545-c1565 ,no creer que V,non-interrogative,"1st present (creo, creemos)",creo,finite,ind,ind,es,finite,ind,ind,That
"no creo que es la décima parte de lo que dexaron escripto los antiguos. Y, déstos que se han hallado, todos ",1500,1540-c1550 ,no creer que V,non-interrogative,"1st present (creo, creemos)",creo,finite,ind,ind,es,finite,ind,ind,That
"yo no creo que es menester que os acuerde quántos infantes tiene un batallón, y cómo se haze de diez batallas ",1500,1536,no creer que V,non-interrogative,"1st present (creo, creemos)",creo,finite,ind,ind,es,finite,ind,ind,That
"no creo que es posible entender ningún absente, tan al proprio como de otros árboles se entiende, por ser ",1500,1535-1557 ,no creer que V,non-interrogative,"1st present (creo, creemos)",creo,finite,ind,ind,es,finite,ind,ind,That
"no creo que es otra la causa, porque vemos agora la devoción verdadera y religión de algunos religiosos, y ",1500,a1527,no creer que V,non-interrogative,"1st present (creo, creemos)",creo,finite,ind,ind,es,finite,ind,ind,That
Aún no creo qu'es verdad,1500,1513,no creer que V,non-interrogative,"1st present (creo, creemos)",creo,finite,ind,ind,es,finite,ind,ind,That
"no creo que es hombre ni mujer, y habla.",1600,1649,no creer que V,non-interrogative,"1st present (creo, creemos)",creo,finite,ind,ind,es,finite,ind,ind,That
no creo que es mi amigo.,1600,a1642,no creer que V,non-interrogative,"1st present (creo, creemos)",creo,finite,ind,ind,es,finite,ind,ind,That
No creo que es necessario ,1600,1628-1629 ,no creer que V,non-interrogative,"1st present (creo, creemos)",creo,finite,ind,ind,es,finite,ind,ind,That
"no creo que es, ",1600,1619,no creer que V,non-interrogative,"1st present (creo, creemos)",creo,finite,ind,ind,es,finite,ind,ind,That
"No creo que es necesario de esta verdad traer más probaciones, que ella en sí está bien clara.",1600,1609,no creer que V,non-interrogative,"1st present (creo, creemos)",creo,finite,ind,ind,es,finite,ind,ind,That
"no creo que es tan bueno como el primero, o, por mejor decir, menos malo. Y podreislo bien juzgar, pues es éste",1600,1605,no creer que V,non-interrogative,"1st present (creo, creemos)",creo,finite,ind,ind,es,finite,ind,ind,That
"no creo que es así como se llama mi diversión, sino la... — Calla, hombre, dice el fraile, yo sé muy bien ",1700,c1790,no creer que V,non-interrogative,"1st present (creo, creemos)",creo,finite,ind,ind,es,finite,ind,ind,That
"no creo que es cama, pues no hay colchones, aunque está blandito. Asiento para uno no puede ser",1700,1768,no creer que V,non-interrogative,"1st present (creo, creemos)",creo,finite,ind,ind,es,finite,ind,ind,That
"No creo que es ésta, sino la nueza, con cuyo nabo cura, y tiene gavilanes, y hojas de viña.",1700,1745-1746 ,no creer que V,non-interrogative,"1st present (creo, creemos)",creo,finite,ind,ind,es,finite,ind,ind,That
"no creo que es ponderarlo, porque verdaderamente no se puede aventajar.",1700,1724,no creer que V,non-interrogative,"1st present (creo, creemos)",creo,finite,ind,ind,es,finite,ind,ind,That
no creo que es menester que uno sea lechuguino. * En lo que yo no esté ducho corrige tú mis maneras. ,1800,1840,no creer que V,non-interrogative,"1st present (creo, creemos)",creo,finite,ind,ind,es,finite,ind,ind,That
"No creo que es por sí, sino mirando á los filósofos, por lo que teme el señor Argüelles. Por Dios que se deje de ",1800,1811,no creer que V,non-interrogative,"1st present (creo, creemos)",creo,finite,ind,ind,es,finite,ind,ind,That
no creo que es argumento de gran valer. El señor Deán se propuso contar lo ocurrido y no probar ninguna tesis,1800,1874,no creer que V,non-interrogative,"1st present (creo, creemos)",creo,finite,ind,ind,es,finite,ind,ind,That
No creo que es forzar demasiado la suspicacia ni la interpretación el ver en este delicioso fragmento un trasunto ,1900,1948,no creer que V,non-interrogative,"1st present (creo, creemos)",creo,finite,ind,ind,es,finite,ind,ind,That
"no creo que es la manera de mirarlo, sino que ",1900,1944-1949 ,no creer que V,non-interrogative,"1st present (creo, creemos)",creo,finite,ind,ind,es,finite,ind,ind,That
No creo que es esa su obra. Y creo que ese San Sebastián con haberle hecho a usted mucho daño no le ,1900,1906,no creer que V,non-interrogative,"1st present (creo, creemos)",creo,finite,ind,ind,es,finite,ind,ind,That
no creo que escandalizará a nadie. Sobre todo es un detalle que no altera ni estropea la purísim,1800,1886,no creer que V,non-interrogative,"1st present (creo, creemos)",creo,finite,ind,ind,escandalizará,finite,ind,ind,That
non creo que escucha la mi boz,1400,c1422-1433 ,no creer que V,non-interrogative,"1st present (creo, creemos)",creo,finite,ind,ind,escucha,finite,ind,ind,That
"No creo Que está en la ejecución, sino el deseo.",1500,1598,no creer que V,non-interrogative,"1st present (creo, creemos)",creo,finite,ind,ind,esta,finite,ind,ind,That
"yo no creo que está escripta de los antiguos, pero hela yo visto experimentar, (622) * y es de aquesta manera",1500,1535-c1552 ,no creer que V,non-interrogative,"1st present (creo, creemos)",creo,finite,ind,ind,esta,finite,ind,ind,That
"no creo que está otra escrita que tan dificultosa sea. Y si no aprovecha siendo entendida, harto es que vale ",1500,1528,no creer que V,non-interrogative,"1st present (creo, creemos)",creo,finite,ind,ind,esta,finite,ind,ind,That
no creo que está en uso hasta agora.,1600,1605,no creer que V,non-interrogative,"1st present (creo, creemos)",creo,finite,ind,ind,está,finite,ind,ind,That
no creo que está en el orden ni habrá nadie que se lo persuada. Lo que sucedería sin duda es que habría ,1800,1820-1823 ,no creer que V,non-interrogative,"1st present (creo, creemos)",creo,finite,ind,ind,está,finite,ind,ind,That
"No creo que estaba fuera de este sentir nuestro Monarca Phelipe V quando dixo a su Confessor, que si ",1700,1733,no creer que V,non-interrogative,"1st present (creo, creemos)",creo,finite,ind,ind,estaba,finite,ind,ind,That
"no creo que estamos ni estaremos en él, porque el crédito de las Cortes, la sabiduría de sus providencias ",1800,1820-1821 ,no creer que V,non-interrogative,"1st present (creo, creemos)",creo,finite,ind,ind,estamos,finite,ind,ind,That
no creo que estará mi silla aderezada.,1500,c1550,no creer que V,non-interrogative,"1st present (creo, creemos)",creo,finite,ind,ind,estara,finite,ind,ind,That
"no creo que estaría mal que la Academia enviase, por mi conducto, un ejemplar de la Antología para ",1800,1893,no creer que V,non-interrogative,"1st present (creo, creemos)",creo,finite,ind,ind,estaria,finite,ind,ind,That
"No creo que estuve en esa época en ningún teatro serio; en otros espectáculos, muy poco; fui tres o cuatro ",1900,1944-1949 ,no creer que V,non-interrogative,"1st present (creo, creemos)",creo,finite,ind,ind,estuve,finite,ind,ind,That
no creo que exagera la situación efectiva en que van hallándose casi todos los europeos. En una prisión ,1900,1930,no creer que V,non-interrogative,"1st present (creo, creemos)",creo,finite,ind,ind,exagera,finite,ind,ind,That
no creo que exagera la situación efectiva en que van hallándose casi todos los europeos. En una prisión ,1900,1930,no creer que V,non-interrogative,"1st present (creo, creemos)",creo,finite,ind,ind,exagera,finite,ind,ind,That
"No creo que extrañará Vuestra Revd.ma Paternidad escribirle yo sin haberle visto ni servido, pues pienso que ",1500,1538-1589 ,no creer que V,non-interrogative,"1st present (creo, creemos)",creo,finite,ind,ind,extrañará,finite,ind,ind,That
No creo que extrañaréis,1700,1793,no creer que V,non-interrogative,"1st present (creo, creemos)",creo,finite,ind,ind,extrañareis,finite,ind,ind,That
no creo que faltaban.,1500,c1527-1561 ,no creer que V,non-interrogative,"1st present (creo, creemos)",creo,finite,ind,ind,faltaban,finite,ind,ind,That
no creo que faltará qué digáis sobre ella,1500,1589,no creer que V,non-interrogative,"1st present (creo, creemos)",creo,finite,ind,ind,faltara,finite,ind,ind,That
"No creo que faltarán curiosos que lo sospechen, y en començando a abrir los ojos el pueblo que se ",1600,1612-a1625 ,no creer que V,non-interrogative,"1st present (creo, creemos)",creo,finite,ind,ind,faltarán,finite,ind,ind,That
no creo que faré desmesura,1500,1512,no creer que V,non-interrogative,"1st present (creo, creemos)",creo,finite,ind,ind,faré,finite,ind,ind,That
"; no creo que fue cosa en España acaesçida, más alta que mi sobida: agora fue mi cayda fasaña marauillosa",1400,a1475,no creer que V,non-interrogative,"1st present (creo, creemos)",creo,finite,ind,ind,fue,finite,ind,ind,That
non creo que fue nesçesario por que fue cosa ljujana // por el asno ser de su natura anjmal mansueto // pero enel ,1400,1453-1467 ,no creer que V,non-interrogative,"1st present (creo, creemos)",creo,finite,ind,ind,fue,finite,ind,ind,That
"yo non creo que fue cosa en España acaesçida, mas alta que mi sobida: agora fue mi cayda fazaña marauillosa",1400,a1424-1520 ,no creer que V,non-interrogative,"1st present (creo, creemos)",creo,finite,ind,ind,fue,finite,ind,ind,That
"no creo que fue cosa en España acaesçida, mas alta que mi sobida: agora fue mi cayda fasaña mara",1400,a1424-1520 ,no creer que V,non-interrogative,"1st present (creo, creemos)",creo,finite,ind,ind,fue,finite,ind,ind,That
"Éste no creo que fue negado a Christo, ",1500,1528,no creer que V,non-interrogative,"1st present (creo, creemos)",creo,finite,ind,ind,fue,finite,ind,ind,That
"no creo que fue el crudelísimo que todos los güéspedes mataba y sacrificaba a sus dioses, sino otro más ",1500,1527-1550 ,no creer que V,non-interrogative,"1st present (creo, creemos)",creo,finite,ind,ind,fue,finite,ind,ind,That
"no creo que fue acaso, sino muy a proposito medido por el Señor de nuestras vidas, que el mismo dia",1600,1605,no creer que V,non-interrogative,"1st present (creo, creemos)",creo,finite,ind,ind,fue,finite,ind,ind,That
"no creo que fue engaño, que no es posible que hubiera engaño en pecho tan noble sin necesidad ni fuerz",1600,1604,no creer que V,non-interrogative,"1st present (creo, creemos)",creo,finite,ind,ind,fue,finite,ind,ind,That
no creo que fueron de dozientos de cauallo arriba. En lo qual Dios piadoso e la Virgen Santa María su madre ,1400,1406-1411 ,no creer que V,non-interrogative,"1st present (creo, creemos)",creo,finite,ind,ind,fueron,finite,ind,ind,That
", que no creo que fueron otras las que compuso aquel gran emperador y gran músico Adriano de la partida ",1500,c1540,no creer que V,non-interrogative,"1st present (creo, creemos)",creo,finite,ind,ind,fueron,finite,ind,ind,That
no creo que fueron otras las que compuso aquel emperador y gran músico Adriano de la partida del ánima,1500,c1499-1502 ,no creer que V,non-interrogative,"1st present (creo, creemos)",creo,finite,ind,ind,fueron,finite,ind,ind,That
"no creo que fueron de uñas tan malas. Una con un ginovés, otra con un capitán que pasó a Flandes d",1600,1613,no creer que V,non-interrogative,"1st present (creo, creemos)",creo,finite,ind,ind,fueron,finite,ind,ind,That
no creo que ganan tantas indulgencias y perdones.,1500,c1550,no creer que V,non-interrogative,"1st present (creo, creemos)",creo,finite,ind,ind,ganan,finite,ind,ind,That
no creo que gustaréis nada d'esto. ,1500,1557-1558 ,no creer que V,non-interrogative,"1st present (creo, creemos)",creo,finite,ind,ind,gustareis,finite,ind,ind,That
