Sentence,Period,Year,Year2,MClauseType,MClauseType2,Mverbclass,Mverbl,Mverbf,Mverbfin,Mverbtype,Construction,Everbf,Emood,Emoodrase,EClauseType
"No creo que esta pregunta tenga que tener, exclusivamente, una respuesta. El estudio de la  Chanson de Roland nos iluminó, en páginas ",1900,1952,1952,noninterrogative,declarative,non-factive,creer (believe),creo,finite,ind,1st present,tenga,subj,subj,unambiguous
No creo que estos casos sean igualables sin restricciones ,1900,1953,1953,noninterrogative,declarative,non-factive,creer (believe),creo,finite,ind,1st present,sean,subj,subj,unambiguous
No creo que sea para tomarlo a broma,1900,1953,1953,noninterrogative,declarative,non-factive,creer (believe),creo,finite,ind,1st present,sea,subj,subj,unambiguous
No creo que sea para tanto.,1900,1953,1953,noninterrogative,declarative,non-factive,creer (believe),creo,finite,ind,1st present,sea,subj,subj,unambiguous
no creo que podamos quejarnos. Lo más seguro es que nos  retiren de este puesto y nos perdonen. La pena está cumplida,1900,1953,1953,noninterrogative,declarative,non-factive,creer (believe),creo,finite,ind,1st present,podamos,subj,subj,unambiguous
No creo que nos manden a otro puesto de castigo.,1900,1953,1953,noninterrogative,declarative,non-factive,creer (believe),creo,finite,ind,1st present,manden,subj,subj,unambiguous
No creo que debas hacerlo,1900,1953,1953,noninterrogative,declarative,non-factive,creer (believe),creo,finite,ind,1st present,debas,subj,subj,unambiguous
No creo que disparen.,1900,1953,1953,noninterrogative,declarative,non-factive,creer (believe),creo,finite,ind,1st present,disparen,subj,subj,unambiguous
no creo que tarde.,1900,1954,1954,noninterrogative,declarative,non-factive,creer (believe),creo,finite,ind,1st present,tarde,subj,subj,unambiguous
No creo que tarde Cecilia,1900,1954,1954,noninterrogative,declarative,non-factive,creer (believe),creo,finite,ind,1st present,tarde,subj,subj,unambiguous
No creo que te dé la razón,1900,1954,1954,noninterrogative,declarative,non-factive,creer (believe),creo,finite,ind,1st present,dé,subj,subj,unambiguous
No creo que ya tarde mucho,1900,1954,1954,noninterrogative,declarative,non-factive,creer (believe),creo,finite,ind,1st present,tarde,subj,subj,unambiguous
no creo que pueda dormir,1900,1954,1954,noninterrogative,declarative,non-factive,creer (believe),creo,finite,ind,1st present,pueda,subj,subj,unambiguous
No creo que en este mundo se pueda ser muy feliz.,1900,1954,1954,noninterrogative,declarative,non-factive,creer (believe),creo,finite,ind,1st present,pueda,subj,subj,unambiguous
no creo que llegue a hablar,1900,1954,1954,noninterrogative,declarative,non-factive,creer (believe),creo,finite,ind,1st present,llegue,subj,subj,unambiguous
No creo que dé patente de bravo,1900,1954,1954,noninterrogative,declarative,non-factive,creer (believe),creo,finite,ind,1st present,dé,subj,subj,unambiguous
No creo que pueda llegar el día en que me acostumbre,1900,1954,1954,noninterrogative,declarative,non-factive,creer (believe),creo,finite,ind,1st present,pueda,subj,subj,unambiguous
No creo que se casase,1900,1954,1954,noninterrogative,declarative,non-factive,creer (believe),creo,finite,ind,1st present,casase,subj,subj,unambiguous
No creo que esta vez lo sea,1900,1954,1954,noninterrogative,declarative,non-factive,creer (believe),creo,finite,ind,1st present,sea,subj,subj,unambiguous
"no creo que haya oficio que le vaya mejor. Fíjate, podrías poner un letrero, de los que se iluminan por la noche, con letras ",1900,1954,1954,noninterrogative,declarative,non-factive,creer (believe),creo,finite,ind,1st present,haya,subj,subj,unambiguous
No creo que sea necesario en estos momentos,1900,1954,1954,noninterrogative,declarative,non-factive,creer (believe),creo,finite,ind,1st present,sea,subj,subj,unambiguous
No creo que pase nada,1900,1954,1954,noninterrogative,declarative,non-factive,creer (believe),creo,finite,ind,1st present,pase,subj,subj,unambiguous
No creo que se resista ,1900,1954,1954,noninterrogative,declarative,non-factive,creer (believe),creo,finite,ind,1st present,resista,subj,subj,unambiguous
no creo que haya dificultades en este tiempo,1900,1955,1955,noninterrogative,declarative,non-factive,creer (believe),creo,finite,ind,1st present,haya,subj,subj,unambiguous
No creo que te enfades por eso.,1900,1955,1955,noninterrogative,declarative,non-factive,creer (believe),creo,finite,ind,1st present,enfades,subj,subj,unambiguous
no creo que eso moleste a nadie,1900,1956,1956,noninterrogative,declarative,non-factive,creer (believe),creo,finite,ind,1st present,moleste,subj,subj,unambiguous
No creo que nadie se inquiete por mi ausencia,1900,1956,1956,noninterrogative,declarative,non-factive,creer (believe),creo,finite,ind,1st present,inquiete,subj,subj,unambiguous
No creo que pase eso,1900,1956,1956,noninterrogative,declarative,non-factive,creer (believe),creo,finite,ind,1st present,pase,subj,subj,unambiguous
no creo que ocurra nada de importancia,1900,1956,1956,noninterrogative,declarative,non-factive,creer (believe),creo,finite,ind,1st present,ocurra,subj,subj,unambiguous
"no creo que éste * sea el lugar más a propósito para sus investigaciones. Por otra parte, es mi deber manifestarles que mi ministerio ",1900,1956,1956,noninterrogative,declarative,non-factive,creer (believe),creo,finite,ind,1st present,sea,subj,subj,unambiguous
No creo que haya nada interesante que contar,1900,1957,1957,noninterrogative,declarative,non-factive,creer (believe),creo,finite,ind,1st present,haya,subj,subj,unambiguous
No creo que hasta la fecha haya sido vislumbrada esta sutil parcela antropológica del pensamiento de San Agustín. ,1900,1957,1957,noninterrogative,declarative,non-factive,creer (believe),creo,finite,ind,1st present,haya,subj,subj,unambiguous
"No creo que el nacimiento de la ""teología dialéctica"" sea ajeno a esta sensibilidad. Karl Barth y sus seguidores han respondido a la crisis actual del esperar humano ",1900,1957,1957,noninterrogative,declarative,non-factive,creer (believe),creo,finite,ind,1st present,sea,subj,subj,unambiguous
"No creo que a nadie haya angustiado de veras el considerar que Dios, ",1900,1957,1957,noninterrogative,declarative,non-factive,creer (believe),creo,finite,ind,1st present,haya,subj,subj,unambiguous
"no creo que ese ""cuidado"" sea otra cosa que la afección de vivir en el mundo, no ""olvidada"" por el espíritu hasta ",1900,1957,1957,noninterrogative,declarative,non-factive,creer (believe),creo,finite,ind,1st present,sea,subj,subj,unambiguous
No creo que Miguel Angel y Goya estuviesen satisfechos de ,1900,1957,1957,noninterrogative,declarative,non-factive,creer (believe),creo,finite,ind,1st present,sea,subj,subj,unambiguous
no creo que ponga inconveniente,1900,1957,1957,noninterrogative,declarative,non-factive,creer (believe),creo,finite,ind,1st present,ponga,subj,subj,unambiguous
no creo que las tradiciones acerca de los «orígenes» de los bandos que el mismo recoge hayan de desatenderse en absoluto,1900,1957,1957,noninterrogative,declarative,non-factive,creer (believe),creo,finite,ind,1st present,hayan,subj,subj,unambiguous
"No creo que sea necesario exponer qué es la Ecología, pero por si acaso alguno de los que lee",1900,1957,1957,noninterrogative,declarative,non-factive,creer (believe),creo,finite,ind,1st present,sea,subj,subj,unambiguous
"no creo que esto de las orejas y los rabos tenga la menor importancia para los buenos aficionados. Para el ""taurinismo"" y para la masa",1900,1958,1958,noninterrogative,declarative,non-factive,creer (believe),creo,finite,ind,1st present,tenga,subj,subj,unambiguous
"No creo que haya algún aficionado al que después de presenciar el festejo de ayer en las Ventas, organizado por el ",1900,1958,1958,noninterrogative,declarative,non-factive,creer (believe),creo,finite,ind,1st present,haya,subj,subj,unambiguous
nosotros no creo que terminemos,1900,1958,1958,noninterrogative,declarative,non-factive,creer (believe),creo,finite,ind,1st present,terminemos,subj,subj,unambiguous
No creo que sea gran cosa,1900,1958,1958,noninterrogative,declarative,non-factive,creer (believe),creo,finite,ind,1st present,sea,subj,subj,unambiguous
No creo que sea un pecado que prefiera vivir cómodamente y que te pregunte lo que ganas y esas cosas que saben todas las novias ,1900,1958,1958,noninterrogative,declarative,non-factive,creer (believe),creo,finite,ind,1st present,sea,subj,subj,unambiguous
no creo que nadie la achante,1900,1958,1958,noninterrogative,declarative,non-factive,creer (believe),creo,finite,ind,1st present,achante,subj,subj,unambiguous
no creo que se haya arrepentido,1900,1958,1958,noninterrogative,declarative,non-factive,creer (believe),creo,finite,ind,1st present,haya,subj,subj,unambiguous
"no creo que lo sean otros a los que se viene atribuyendo  el mismo origen. Me refiero a Narigués, Gaona, nombres los dos de antiguas torres",1900,1959,1959,noninterrogative,declarative,non-factive,creer (believe),creo,finite,ind,1st present,sean,subj,subj,unambiguous
"Mas no creo que la Villa haya sido la única población de la Península donde se haya aplicado tal sistema, pues galerías de «drenaje",1900,1959,1959,noninterrogative,declarative,non-factive,creer (believe),creo,finite,ind,1st present,haya,subj,subj,unambiguous
"no creo que tenga fundamento alguno lo que dice el citado autor, puesto que a nadie, me parece, se le ha podido ocurrir levantar ",1900,1959,1959,noninterrogative,declarative,non-factive,creer (believe),creo,finite,ind,1st present,tenga,subj,subj,unambiguous
"yo no creo que el señor Iñiguez refleje la realidad en esas observaciones sobre distribución de torres y coincidencias de dibujos, así como ",1900,1959,1959,noninterrogative,declarative,non-factive,creer (believe),creo,finite,ind,1st present,refleje,subj,subj,unambiguous
"no creo que se hayan dado cuenta los viajeros que han pasado por Madrid sin detenerse mucho tiempo, pues apenas encuentro en sus obras ",1900,1959,1959,noninterrogative,declarative,non-factive,creer (believe),creo,finite,ind,1st present,haya,subj,subj,unambiguous
no creo que ofrezca duda,1900,1960,1960,noninterrogative,declarative,non-factive,creer (believe),creo,finite,ind,1st present,ofrezca,subj,subj,unambiguous
No creo que puedan analogarse y ,1900,1960,1960,noninterrogative,declarative,non-factive,creer (believe),creo,finite,ind,1st present,puedan,subj,subj,unambiguous
no creo que esta interpretación pueda apoyarse en referencias concretas.  Don Quijote no opone la justicia ideal ,1900,1960,1960,noninterrogative,declarative,non-factive,creer (believe),creo,finite,ind,1st present,pueda,subj,subj,unambiguous
"No creo que esta actitud pueda entenderse como defensa de la justicia ideal, sino como valoración de la ",1900,1960,1960,noninterrogative,declarative,non-factive,creer (believe),creo,finite,ind,1st present,pueda,subj,subj,unambiguous
No creo que nadie se encuentre en desacuerdo con nosotros si decimos que el mundo de la novela pastoril no es un mundo real.  ,1900,1960,1960,noninterrogative,declarative,non-factive,creer (believe),creo,finite,ind,1st present,encuentre,subj,subj,unambiguous
No creo que nadie pueda poner en duda que al retratar a los gitanos no pretende Cervantes escribir un estudio científico de sus costumbres,1900,1960,1960,noninterrogative,declarative,non-factive,creer (believe),creo,finite,ind,1st present,pueda,subj,subj,unambiguous
no creo que nadie pueda confundir un fugitivo con un aventurero. Preciso es suponer que el aventurero se encuentra ,1900,1960,1960,noninterrogative,declarative,non-factive,creer (believe),creo,finite,ind,1st present,pueda,subj,subj,unambiguous
"No creo que la adscripción a un partido político tenga nada que ver con la vocación, ni con el requerimiento incondicional de nuestra vida.",1900,1960,1960,noninterrogative,declarative,non-factive,creer (believe),creo,finite,ind,1st present,tenga,subj,subj,unambiguous
No creo que haya allí nadie que sepa escribir,1900,1961,1961,noninterrogative,declarative,non-factive,creer (believe),creo,finite,ind,1st present,haya,subj,subj,unambiguous
no creo que tengas razón. Lo que ocurre es que los mandamientos de la ley de Dios son «jabón que n,1900,1961,1961,noninterrogative,declarative,non-factive,creer (believe),creo,finite,ind,1st present,tengas,subj,subj,unambiguous
no creo que haga falta enseñarte las estadísticas,1900,1961,1961,noninterrogative,declarative,non-factive,creer (believe),creo,finite,ind,1st present,haga,subj,subj,unambiguous
"no creo que esté prohibido tener discos, tortugas, ficheros ni comprarle enormes brazaletes a la legítima esposa».",1900,1961,1961,noninterrogative,declarative,non-factive,creer (believe),creo,finite,ind,1st present,esté,subj,subj,unambiguous
No creo que la cosas tenga misterio ,1900,1961,1961,noninterrogative,declarative,non-factive,creer (believe),creo,finite,ind,1st present,tenga,subj,subj,unambiguous
que no creo que reúna usted condiciones,1900,1961,1961,noninterrogative,declarative,non-factive,creer (believe),creo,finite,ind,1st present,reuna,subj,subj,unambiguous
"no creo que saques de él gran partido. En cambio, aquí, en el Hospital...",1900,1961,1961,noninterrogative,declarative,non-factive,creer (believe),creo,finite,ind,1st present,saques,subj,subj,unambiguous
No creo que servir en Auditoría sea una deshonra —me dijo—. Hay muchas maneras de cumplir como un buen patriota.»,1900,1961,1961,noninterrogative,declarative,non-factive,creer (believe),creo,finite,ind,1st present,sea,subj,subj,unambiguous
No creo que puedas hacer nada.,1900,1961,1961,noninterrogative,declarative,non-factive,creer (believe),creo,finite,ind,1st present,puedas,subj,subj,unambiguous
Al viento no creo que puedan meterlo a la sombra.,1900,1961,1961,noninterrogative,declarative,non-factive,creer (believe),creo,finite,ind,1st present,puedan,subj,subj,unambiguous
No creo que vaya a venir nadie mientras te quedas ,1900,1961,1961,noninterrogative,declarative,non-factive,creer (believe),creo,finite,ind,1st present,vaya,subj,subj,unambiguous
no creo que nadie se lleve la ropa    que he dejado puesta a secar.,1900,1961,1961,noninterrogative,declarative,non-factive,creer (believe),creo,finite,ind,1st present,lleve,subj,subj,unambiguous
No creo que te haya hecho nada el animal,1900,1961,1961,noninterrogative,declarative,non-factive,creer (believe),creo,finite,ind,1st present,haya,subj,subj,unambiguous
no creo que me dejes ir ,1900,1961,1961,noninterrogative,declarative,non-factive,creer (believe),creo,finite,ind,1st present,dejes,subj,subj,unambiguous
"No creo que puedan echarnos, de no armar jaleo.",1900,1961,1961,noninterrogative,declarative,non-factive,creer (believe),creo,finite,ind,1st present,puedan,subj,subj,unambiguous
No creo que ese peleo tenga para costearse un traslado,1900,1961,1961,noninterrogative,declarative,non-factive,creer (believe),creo,finite,ind,1st present,tenga,subj,subj,unambiguous
No creo que mamá dé su brazo a torcer,1900,1961,1961,noninterrogative,declarative,non-factive,creer (believe),creo,finite,ind,1st present,dé,subj,subj,unambiguous
"no creo que se parezcan a sus autores, ¿y qué? Lo que importa es la vida: a veces, como en Galdós —que no me gusta, ni ",1900,1961,1961,noninterrogative,declarative,non-factive,creer (believe),creo,finite,ind,1st present,parezcan,subj,subj,unambiguous
no creo que le haga demasiada gracia,1900,1961,1961,noninterrogative,declarative,non-factive,creer (believe),creo,finite,ind,1st present,haga,subj,subj,unambiguous
no creo que pueda haber duda,1900,1961,1961,noninterrogative,declarative,non-factive,creer (believe),creo,finite,ind,1st present,pueda,subj,subj,unambiguous
No creo que exista una fuerza suficiente para hacer variar ni un tanto así a los españoles.,1900,1961,1961,noninterrogative,declarative,non-factive,creer (believe),creo,finite,ind,1st present,exista,subj,subj,unambiguous
No creo que haya país donde «legalizar» una situación sea más importante que aquí para los enemigos de las leyes.,1900,1961,1961,noninterrogative,declarative,non-factive,creer (believe),creo,finite,ind,1st present,haya,subj,subj,unambiguous
"no creo que haya gran diferencia. Ahora bien, ésta es de órdago.",1900,1961,1961,noninterrogative,declarative,non-factive,creer (believe),creo,finite,ind,1st present,haya,subj,subj,unambiguous
No creo que haya peligro de que mentalidades semejantes ejerzan una influencia decisiva sobre las sociedades actuales,1900,1961,1961,noninterrogative,declarative,non-factive,creer (believe),creo,finite,ind,1st present,haya,subj,subj,unambiguous
"Yo no creo que el hombre vuele muy alto —dijo, por fin",1900,1962,1962,noninterrogative,declarative,non-factive,creer (believe),creo,finite,ind,1st present,vuele,subj,subj,unambiguous
Yo no creo que eso sea un problema,1900,1962,1962,noninterrogative,declarative,non-factive,creer (believe),creo,finite,ind,1st present,sea,subj,subj,unambiguous
"no creo que tenga tanto. Venderé el armario, no sé. ¡Si pudiera irme embalá y a porte debido! (Ríe de nuevo, ",1900,1962,1962,noninterrogative,declarative,non-factive,creer (believe),creo,finite,ind,1st present,tenga,subj,subj,unambiguous
"no creo que pueda ser otra sino el  Cynanchum. Si no hemos relacionado mal unos números con otros, se trata, en todos ",1900,1962,1962,noninterrogative,declarative,non-factive,creer (believe),creo,finite,ind,1st present,pueda,subj,subj,unambiguous
no creo que se relacione con la presencia de saponinas en la planta.,1900,1962,1962,noninterrogative,declarative,non-factive,creer (believe),creo,finite,ind,1st present,relacione,subj,subj,unambiguous
"ya no creo que se aclare nunca, lo que en el fondo hubo. Si se compulsan con cuidado los indicios, todo ese guiso huele más a ",1900,1962,1962,noninterrogative,declarative,non-factive,creer (believe),creo,finite,ind,1st present,aclare,subj,subj,unambiguous
"pero no creo que las naciones democráticas de Occidente se lancen nunca a una guerra preventiva. Podemos tener nuestra propia opinión particular sobre la cuestión, pero la mía sería esa"".",1900,1962,1962,noninterrogative,declarative,non-factive,creer (believe),creo,finite,ind,1st present,lancen,subj,subj,unambiguous
"No creo que dos sujetos que, a estas alturas, se hacen pasar por don Juan y su criado, sean ninguna bobada.",1900,1963,1963,noninterrogative,declarative,non-factive,creer (believe),creo,finite,ind,1st present,sean,subj,subj,unambiguous
No creo que ninguna mujer pueda sentir,1900,1963,1963,noninterrogative,declarative,non-factive,creer (believe),creo,finite,ind,1st present,pueda,subj,subj,unambiguous
No creo que te convenga,1900,1963,1963,noninterrogative,declarative,non-factive,creer (believe),creo,finite,ind,1st present,convenga,subj,subj,unambiguous
no creo que lo repita,1900,1963,1963,noninterrogative,declarative,non-factive,creer (believe),creo,finite,ind,1st present,repita,subj,subj,unambiguous
"No creo que haya en el mundo nada en que un hombre pueda poner más esperanza, ni que le cause decepción mayor",1900,1963,1963,noninterrogative,declarative,non-factive,creer (believe),creo,finite,ind,1st present,haya,subj,subj,unambiguous
no creo que se asemejen a los míos,1900,1963,1963,noninterrogative,declarative,non-factive,creer (believe),creo,finite,ind,1st present,asemejen,subj,subj,unambiguous
no creo que le interese una disgresión taurina.,1900,1963,1963,noninterrogative,declarative,non-factive,creer (believe),creo,finite,ind,1st present,interese,subj,subj,unambiguous
"Pero no creo que le asuste, a usted, que se ha pasado la vida ofendiéndole.",1900,1963,1963,noninterrogative,declarative,non-factive,creer (believe),creo,finite,ind,1st present,asuste,subj,subj,unambiguous
"No creo que nadie discrepe de mi opinión. Por razones estéticas, físicas y metafísicas, yo debo sentarme ahí.",1900,1963,1963,noninterrogative,declarative,non-factive,creer (believe),creo,finite,ind,1st present,discrepe,subj,subj,unambiguous
No creo que en los idiomas occidentales existan siquiera las palabras apropiadas para definir nuestro carácter.»,1900,1964,1964,noninterrogative,declarative,non-factive,creer (believe),creo,finite,ind,1st present,existan,subj,subj,unambiguous
No creo que haya inconveniente,1900,1964,1964,noninterrogative,declarative,non-factive,creer (believe),creo,finite,ind,1st present,haya,subj,subj,unambiguous
No creo que mi hija haga mal a nadie ,1900,1964,1964,noninterrogative,declarative,non-factive,creer (believe),creo,finite,ind,1st present,haga,subj,subj,unambiguous
no creo que exista en la literatura española ninguna página tan vil como la que acabamos de comentar. ,1900,1964,1964,noninterrogative,declarative,non-factive,creer (believe),creo,finite,ind,1st present,exista,subj,subj,unambiguous
"no creo que ello sea tan inconveniente, y, antes al contrario, puede ser positivo incluso para la mayor agilidad de nuestra ",1900,1964,1964,noninterrogative,declarative,non-factive,creer (believe),creo,finite,ind,1st present,sea,subj,subj,unambiguous
"No creo que busquen aún el cuerpo del ajusticiado, cuya alma Dios tenga en su gloria.",1900,1965,1965,noninterrogative,declarative,non-factive,creer (believe),creo,finite,ind,1st present,busquen,subj,subj,unambiguous
No creo que sea tanta ofensa querer acompañarle,1900,1965,1965,noninterrogative,declarative,non-factive,creer (believe),creo,finite,ind,1st present,sea,subj,subj,unambiguous
no creo que se tope usted hasta el momento de embarcarse,1900,1965,1965,noninterrogative,declarative,non-factive,creer (believe),creo,finite,ind,1st present,tope,subj,subj,unambiguous
"no creo que, en el estado en que se encuentra, sea capaz de articular palabras. ",1900,1965,1965,noninterrogative,declarative,non-factive,creer (believe),creo,finite,ind,1st present,sea,subj,subj,unambiguous
no creo que adelantemos nada,1900,1965,1965,noninterrogative,declarative,non-factive,creer (believe),creo,finite,ind,1st present,adelantemos,subj,subj,unambiguous
"No creo que nadie tome a la letra las acusaciones del ardiente protector de los indios contra el humanista cordobés, aun concediéndole la razón en los puntos más fundamentales. Le sirvió de buen apoyo el célebre padre Melchor Can",1900,1965,1965,noninterrogative,declarative,non-factive,creer (believe),creo,finite,ind,1st present,tome,subj,subj,unambiguous
"No creo que el régimen ordinario de una Iglesia pueda confiarse a los reyes o laicos, porque fue establecido por derecho divino que fuera regida por los obispos",1900,1965,1965,noninterrogative,declarative,non-factive,creer (believe),creo,finite,ind,1st present,pueda,subj,subj,unambiguous
No creo que en manera alguna pueda sostenerse la conveniencia de que la televisión se surta exclusivamente de obras creadas para ella,1900,1965,1965,noninterrogative,declarative,non-factive,creer (believe),creo,finite,ind,1st present,pueda,subj,subj,unambiguous
No creo que llegue a las mil pesetas.,1900,1965,1965,noninterrogative,declarative,non-factive,creer (believe),creo,finite,ind,1st present,llegue,subj,subj,unambiguous
No creo que llegue a mediodía ,1900,1965,1965,noninterrogative,declarative,non-factive,creer (believe),creo,finite,ind,1st present,llegue,subj,subj,unambiguous
No creo que les importe nada,1900,1965,1965,noninterrogative,declarative,non-factive,creer (believe),creo,finite,ind,1st present,importe,subj,subj,unambiguous
No creo que haya una niña que se respete y que escriba lo que piensa,1900,1965,1965,noninterrogative,declarative,non-factive,creer (believe),creo,finite,ind,1st present,haya,subj,subj,unambiguous
no creo que se haga intencionadamente,1900,1965,1965,noninterrogative,declarative,non-factive,creer (believe),creo,finite,ind,1st present,haga,subj,subj,unambiguous
"No creo que haya por qué tomarlo al pie de la letra sino en su significado, y ustedes lo saben ya también.",1900,1965,1965,noninterrogative,declarative,non-factive,creer (believe),creo,finite,ind,1st present,haya,subj,subj,unambiguous
"yo no creo que a papá le importe nada que Odón sea de la FUE, se alza de hombros, pero le revienta que discuta ",1900,1965,1965,noninterrogative,declarative,non-factive,creer (believe),creo,finite,ind,1st present,importe,subj,subj,unambiguous
No creo que le hagamos ningún bien con ello.,1900,1965,1965,noninterrogative,declarative,non-factive,creer (believe),creo,finite,ind,1st present,hagamos,subj,subj,unambiguous
No creo que le importe. Preferirá que lo aceptemos.,1900,1965,1965,noninterrogative,declarative,non-factive,creer (believe),creo,finite,ind,1st present,importe,subj,subj,unambiguous
"no creo que ande mal de los nervios por eso, cabeza dura, que muchísimas veces pienso que tú estabas ",1900,1966,1966,noninterrogative,declarative,non-factive,creer (believe),creo,finite,ind,1st present,ande,subj,subj,unambiguous
", no creo que se pueda decir más en menos palabras, que Valen estaba entusiasmada, y yo, lógico, pero de eso a meterlo ",1900,1966,1966,noninterrogative,declarative,non-factive,creer (believe),creo,finite,ind,1st present,pueda,subj,subj,unambiguous
no creo que exista más que raras veces,1900,1966,1966,noninterrogative,declarative,non-factive,creer (believe),creo,finite,ind,1st present,exista,subj,subj,unambiguous
". No creo que se trate de un fenómeno de raíz periférica, sino más bien central. Ekbom ha dedicado últimamente una monografía a este síndrome",1900,1966,1966,noninterrogative,declarative,non-factive,creer (believe),creo,finite,ind,1st present,trate,subj,subj,unambiguous
"No creo que sea lícito establecer una correspondencia, plano a plano, entre la estructura de la personalidad",1900,1966,1966,noninterrogative,declarative,non-factive,creer (believe),creo,finite,ind,1st present,sea,subj,subj,unambiguous
No creo que nadie se atreva a ofrecer estas seguridades. Lo cierto es que el núcleo de la personalidad no fructifica adecuadamente ,1900,1966,1966,noninterrogative,declarative,non-factive,creer (believe),creo,finite,ind,1st present,atreva,subj,subj,unambiguous
"no creo que Esther, la pobre, tenga mucho que mirar, bueno, eso es aparte, para él no rige, a pescozón limpio, muy en hombre, como hay ",1900,1966,1966,noninterrogative,declarative,non-factive,creer (believe),creo,finite,ind,1st present,tenga,subj,subj,unambiguous
No creo que vayáis a tenerme miedo,1900,1967,1967,noninterrogative,declarative,non-factive,creer (believe),creo,finite,ind,1st present,vayais,subj,subj,unambiguous
No creo que debamos permitir... ¡Sabes muy bien a qué me refiero!... ¿Cómo que no lo sabes? ¡Sabes de ,1900,1967,1967,noninterrogative,declarative,non-factive,creer (believe),creo,finite,ind,1st present,debamos,subj,subj,unambiguous
Y no creo que acceda,1900,1967,1967,noninterrogative,declarative,non-factive,creer (believe),creo,finite,ind,1st present,acceda,subj,subj,unambiguous
No creo que llegue con él hasta aquí,1900,1967,1967,noninterrogative,declarative,non-factive,creer (believe),creo,finite,ind,1st present,llegue,subj,subj,unambiguous
"No creo que la introducción de un sistema haya estado jamás en contradicción más flagrante con su fin"".",1900,1967,1967,noninterrogative,declarative,non-factive,creer (believe),creo,finite,ind,1st present,haya,subj,subj,unambiguous
No creo que se enfade... ,1900,1967,1967,noninterrogative,declarative,non-factive,creer (believe),creo,finite,ind,1st present,enfade,subj,subj,unambiguous
"no creo que debamos atenernos exclusivamente a la explicación de los espejos. Sí, nos da, como era de esperar, una ",1900,1967,1967,noninterrogative,declarative,non-factive,creer (believe),creo,finite,ind,1st present,debamos,subj,subj,unambiguous
"No creo que hubiese en la experiencia personal de Valle Inclán relación alguna con el boticario oscense, gran ",1900,1967,1967,noninterrogative,declarative,non-factive,creer (believe),creo,finite,ind,1st present,hubiese,subj,subj,unambiguous
No creo que le pudiese importar mucho a Valle Inclán la sucesión de Pérez Galdós en la Real Academia de la Lengua en unos momentos en que ya el hueco del novelista ,1900,1967,1967,noninterrogative,declarative,non-factive,creer (believe),creo,finite,ind,1st present,pudiese,subj,subj,unambiguous
no creo que haya que arreglarlo a cañonazos,1900,1968,1968,noninterrogative,declarative,non-factive,creer (believe),creo,finite,ind,1st present,haya,subj,subj,unambiguous
"No creo que haya nadie que quiera perjudicarme. Además, robar sin tener que hacer saltar la cerradura es demasiado ",1900,1968,1968,noninterrogative,declarative,non-factive,creer (believe),creo,finite,ind,1st present,haya,subj,subj,unambiguous
"Yo no creo que el padre Quintas, por ejemplo, se haya pasado al comunismo. Eso son pamplinas.",1900,1968,1968,noninterrogative,declarative,non-factive,creer (believe),creo,finite,ind,1st present,haya,subj,subj,unambiguous
no creo que sea defendible,1900,1968,1968,noninterrogative,declarative,non-factive,creer (believe),creo,finite,ind,1st present,sea,subj,subj,unambiguous
No creo que esto vaya a durar mucho,1900,1968,1968,noninterrogative,declarative,non-factive,creer (believe),creo,finite,ind,1st present,vaya,subj,subj,unambiguous
No creo que falte tu gracia a la cita con estas almas; ni creo que sean peores que los cristianos que andan,1900,1968,1968,noninterrogative,declarative,non-factive,creer (believe),creo,finite,ind,1st present,falte,subj,subj,unambiguous
no creo que le interese nada,1900,1968,1968,noninterrogative,declarative,non-factive,creer (believe),creo,finite,ind,1st present,interese,subj,subj,unambiguous
no creo que mienta,1900,1968,1968,noninterrogative,declarative,non-factive,creer (believe),creo,finite,ind,1st present,mienta,subj,subj,unambiguous
no creo que encuentre en mí otra cosa que admirar,1900,1968,1968,noninterrogative,declarative,non-factive,creer (believe),creo,finite,ind,1st present,encuentre,subj,subj,unambiguous
No creo que sea humano tomarlo de otra manera.,1900,1968,1968,noninterrogative,declarative,non-factive,creer (believe),creo,finite,ind,1st present,sea,subj,subj,unambiguous
"No creo que nadie del barrio, o de la fábrica, se acerque a confesarse contigo",1900,1968,1968,noninterrogative,declarative,non-factive,creer (believe),creo,finite,ind,1st present,acerque,subj,subj,unambiguous
Quien no creo que tenga nada que ver en este entierro es el Faraón ,1900,1968,1968,noninterrogative,declarative,non-factive,creer (believe),creo,finite,ind,1st present,tenga,subj,subj,unambiguous
No creo que las tire Matías.»,1900,1968,1968,noninterrogative,declarative,non-factive,creer (believe),creo,finite,ind,1st present,tire,subj,subj,unambiguous
"No creo que tarden mucho en llegar noticias del señor de la Cámara... Todo esto me parecen fantasías, y ustedes perdonen ",1900,1968,1968,noninterrogative,declarative,non-factive,creer (believe),creo,finite,ind,1st present,traden,subj,subj,unambiguous
No creo que sea cosa local,1900,1968,1968,noninterrogative,declarative,non-factive,creer (believe),creo,finite,ind,1st present,sea,subj,subj,unambiguous
No creo que pueda negarse,1900,1968,1968,noninterrogative,declarative,non-factive,creer (believe),creo,finite,ind,1st present,pueda,subj,subj,unambiguous
"No creo que lo hayan sacado por lo alto de las tapias, ¡qué barbaridad!»",1900,1968,1968,noninterrogative,declarative,non-factive,creer (believe),creo,finite,ind,1st present,hayan,subj,subj,unambiguous
